formula   X_a0      X_b1      Z_a2      Z_b3      IE_a4     IE_b5     EA_a6     EA_b7     r_A8      r_B9      vale_A10  vale_B11  cr.r_A12  cr.r_B13  mb.x_A14  mb.x_B15  s_A16     p_A17     d_A18     f_A19     s_B20     p_B21     d_B22     f_B23     random24  random25  topoY     
HfPd      1.3       2.2       72        46        6.82507   8.33684   0.17807   0.56214   1.55      1.4       4         10        2.91      2.91      1.73      1.73      2         0         2         14        0         0         10        0         0.614923  0.756507  0         
YP        1.22      2.19      39        15        6.21726   10.48669  0.30712   0.74661   1.8       1.0       3         5         2.94      2.94      1.41      1.41      2         0         1         0         2         3         0         0         0.394295  0.432041  0         
CaPd      1.0       2.2       20        46        6.11316   8.33684   0.02455   0.56214   1.8       1.4       2         10        3.00      3.00      1.17      1.17      2         0         0         0         0         0         10        0         0.697884  0.985948  1         
LaAg      1.1       1.93      57        47        5.5769    7.57623   0.55755   1.30447   1.95      1.6       3         11        3.08      3.08      1.35      1.35      2         0         1         0         1         0         10        0         0.064141  0.458229  0         
HoSb      1.23      2.05      67        51        6.0215    8.60839   0.338     1.0474    1.75      1.45      3         5         3.65      3.65      1.2       1.2       2         0         0         11        2         3         10        0         0.95885   0.7223    0         
YIn       1.22      1.78      39        49        6.21726   5.78636   0.30712   0.38393   1.8       1.55      3         3         2.94      2.94      1.41      1.41      2         0         1         0         2         1         10        0         0.265608  0.794114  0         
AlCo      1.61      1.88      13        27        5.98577   7.88101   0.43284   0.66226   1.25      1.35      3         9         1.675     1.675     1.64      1.64      2         1         0         0         2         0         7         0         0.073021  0.809611  1         
PrAg      1.13      1.93      59        47        5.4702    7.57623   0.10923   1.30447   1.85      1.6       3         11        4.48      4.48      1.1       1.1       2         0         0         3         1         0         10        0         0.290702  0.211812  0         
CsBr      0.79      2.96      55        35        3.89391   11.81381  0.47163   3.36359   2.6       1.15      1         7         4.31      4.31      0.77      0.77      1         0         0         0         2         5         10        0         0.831697  0.49764   0         
YAu       1.22      2.54      39        79        6.21726   9.22555   0.30712   2.30861   1.8       1.35      3         11        2.94      2.94      1.41      1.41      2         0         1         0         1         0         10        14        0.598174  0.568278  0         
GaCo      1.81      1.88      31        27        5.9993    7.88101   0.3012    0.66226   1.3       1.35      3         9         1.695     1.695     1.70      1.70      2         1         10        0         2         0         7         0         0.416499  0.411314  0         
SrO       0.95      3.44      38        8         5.69487   13.61806  0.05207   1.46111   2.0       0.6       2         6         3.21      3.21      1.13      1.13      2         0         0         0         2         4         0         0         0.572867  0.554385  0         
TiPd      1.54      2.2       22        46        6.82812   8.33684   0.07555   0.56214   1.4       1.4       4         10        2.58      2.58      1.86      1.86      2         0         2         0         0         0         10        0         0.313197  0.579384  0         
DyAg      1.22      1.93      66        47        5.93905   7.57623   0.352     1.30447   1.75      1.6       3         11        3.67      3.67      1.15      1.15      2         0         0         10        1         0         10        0         0.214518  0.007737  0         
HfC       1.3       2.55      72        6         6.82507   11.26029  0.17807   1.26211   1.55      0.7       4         4         2.91      2.91      1.73      1.73      2         0         2         14        2         2         0         0         0.487852  0.625189  0         
ZnO       1.65      3.44      30        8         9.3942    13.61806  -0.62     1.46111   1.35      0.6       12        6         1.88      1.88      1.44      1.44      2         0         10        0         2         4         0         0         0.908179  0.467673  0         
SmTl      1.17      1.62      62        81        5.64371   6.10829   0.162     0.32005   1.85      1.9       3         3         4.14      4.14      1.2       1.2       2         0         0         6         2         1         10        14        0.362947  0.765403  0         
YTl       1.22      1.62      39        81        6.21726   6.10829   0.30712   0.32005   1.8       1.9       3         3         2.94      2.94      1.41      1.41      2         0         1         0         2         1         10        14        0.88927   0.75315   0         
SmAg      1.17      1.93      62        47        5.64371   7.57623   0.162     1.30447   1.85      1.6       3         11        4.14      4.14      1.2       1.2       2         0         0         6         1         0         10        0         0.112806  0.918667  0         
HoRh      1.23      2.28      67        45        6.0215    7.4589    0.338     1.14289   1.75      1.35      3         9         3.65      3.65      1.2       1.2       2         0         0         11        1         0         8         0         0.609971  0.283769  1         
DyRh      1.22      2.28      66        45        5.93905   7.4589    0.352     1.14289   1.75      1.35      3         9         3.67      3.67      1.15      1.15      2         0         0         10        1         0         8         0         0.502428  0.230671  1         
ErTl      1.24      1.62      68        81        6.1077    6.10829   0.312     0.32005   1.75      1.9       3         3         3.63      3.63      1.2       1.2       2         0         0         12        2         1         10        14        0.198433  0.947066  0         
MgHg      1.31      2.0       12        80        7.64624   10.4375   -0.42     -0.52     1.5       1.5       2         12        2.03      2.03      1.31      1.31      2         0         0         0         2         0         10        14        0.43189   0.12532   0         
SrS       0.95      2.58      38        16        5.69487   10.36001  0.05207   2.0771    2.0       1.0       2         6         3.21      3.21      1.13      1.13      2         0         0         0         2         4         0         0         0.761608  0.09062   0         
DyIn      1.22      1.78      66        49        5.93905   5.78636   0.352     0.38393   1.75      1.55      3         3         3.67      3.67      1.15      1.15      2         0         0         10        2         1         10        0         0.614812  0.201406  0         
BaHg      0.89      2.0       56        80        5.21166   10.4375   0.14463   -0.52     2.15      1.5       2         12        3.402     3.402     1.08      1.08      2         0         0         0         2         0         10        14        0.450335  0.165046  0         
CaTe      1.0       2.1       20        52        6.11316   9.00981   0.02455   1.97088   1.8       1.4       2         6         3.00      3.00      1.17      1.17      2         0         0         0         2         4         10        0         0.985272  0.402343  0         
ScCo      1.36      1.88      21        27        6.56149   7.88101   0.1882    0.66226   1.6       1.35      3         9         2.75      2.75      1.50      1.50      2         0         1         0         2         0         7         0         0.078036  0.984657  1         
SmAl      1.17      1.61      62        13        5.64371   5.98577   0.162     0.43284   1.85      1.25      3         3         4.14      4.14      1.2       1.2       2         0         0         6         2         1         0         0         0.677221  0.402832  1         
BePd      1.57      2.2       4         46        9.3227    8.33684   -0.52     0.56214   1.05      1.4       2         10        1.08      1.08      1.45      1.45      2         0         0         0         0         0         10        0         0.628896  0.465393  0         
YRh       1.22      2.28      39        45        6.21726   7.4589    0.30712   1.14289   1.8       1.35      3         9         2.94      2.94      1.41      1.41      2         0         1         0         1         0         8         0         0.423965  0.380121  1         
TaTc      1.5       1.9       73        43        7.54957   7.11938   0.32312   0.552     1.45      1.35      5         7         2.79      2.79      1.94      1.94      2         0         3         14        2         0         5         0         0.043857  0.789041  0         
ScAs      1.36      2.18      21        33        6.56149   9.78855   0.1882    0.80482   1.6       1.15      3         5         2.75      2.75      1.50      1.50      2         0         1         0         2         3         10        0         0.845009  0.342411  0         
ScSb      1.36      2.05      21        51        6.56149   8.60839   0.1882    1.0474    1.6       1.45      3         5         2.75      2.75      1.50      1.50      2         0         1         0         2         3         10        0         0.356653  0.505758  0         
SmAu      1.17      2.54      62        79        5.64371   9.22555   0.162     2.30861   1.85      1.35      3         11        4.14      4.14      1.2       1.2       2         0         0         6         1         0         10        14        0.116393  0.030415  0         
ScIr      1.36      2.2       21        77        6.56149   8.96702   0.1882    1.56436   1.6       1.35      3         9         2.75      2.75      1.50      1.50      2         0         1         0         2         0         7         14        0.594811  0.583311  1         
HgTe      2.0       2.1       80        52        10.4375   9.00981   -0.52     1.97088   1.5       1.4       12        6         2.41      2.41      1.49      1.49      2         0         10        14        2         4         10        0         0.693907  0.339957  0         
GaRh      1.81      2.28      31        45        5.9993    7.4589    0.3012    1.14289   1.3       1.35      3         9         1.695     1.695     1.70      1.70      2         1         10        0         1         0         8         0         0.849319  0.206966  0         
ScAl      1.36      1.61      21        13        6.56149   5.98577   0.1882    0.43284   1.6       1.25      3         3         2.75      2.75      1.50      1.50      2         0         1         0         2         1         0         0         0.747835  0.357213  1         
NbN       1.6       3.04      41        7         6.75885   14.53413  0.91741   -0.07     1.45      0.65      5         5         2.76      2.76      2.03      2.03      1         0         4         0         2         3         0         0         0.605736  0.823934  0         
PtC       2.28      2.55      78        6         8.95883   11.26029  2.12511   1.26211   1.35      0.7       10        4         2.70      2.70      1.91      1.91      1         0         9         14        2         2         0         0         0.040948  0.437604  0         
TiBe      1.54      1.57      22        4         6.82812   9.3227    0.07555   -0.52     1.4       1.05      4         2         2.58      2.58      1.86      1.86      2         0         2         0         2         0         0         0         0.166668  0.819258  1         
TlCl      1.62      3.16      81        17        6.10829   12.96763  0.32005   3.61273   1.9       1.0       3         7         2.235     2.235     1.69      1.69      2         1         10        14        2         5         0         0         0.3377    0.457637  0         
YAs       1.22      2.18      39        33        6.21726   9.78855   0.30712   0.80482   1.8       1.15      3         5         2.94      2.94      1.41      1.41      2         0         1         0         2         3         10        0         0.919384  0.882809  0         
HfOs      1.3       2.2       72        76        6.82507   8.43823   0.17807   1.0778    1.55      1.3       4         8         2.91      2.91      1.73      1.73      2         0         2         14        2         0         6         14        0.056071  0.727032  1         
CeCd      1.12      1.69      58        48        5.5386    8.99382   0.572     -0.72     1.85      1.55      3         12        4.50      4.50      1.1       1.1       2         0         1         1         2         0         10        0         0.05857   0.029036  1         
ZrPd      1.33      2.2       40        46        6.63413   8.33684   0.43329   0.56214   1.55      1.4       4         10        2.825     2.825     1.70      1.70      2         0         2         0         0         0         10        0         0.215274  0.520059  0         
YIr       1.22      2.2       39        77        6.21726   8.96702   0.30712   1.56436   1.8       1.35      3         9         2.94      2.94      1.41      1.41      2         0         1         0         2         0         7         14        0.905366  0.178075  1         
ErSb      1.24      2.05      68        51        6.1077    8.60839   0.312     1.0474    1.75      1.45      3         5         3.63      3.63      1.2       1.2       2         0         0         12        2         3         10        0         0.565349  0.51724   0         
TePb      2.1       2.33      52        82        9.00981   7.41668   1.97088   0.35672   1.4       1.8       6         4         1.67      1.67      2.38      2.38      2         4         10        0         2         2         10        14        0.745652  0.079926  0         
LuSb      1.27      2.05      71        51        5.42587   8.60839   0.23887   1.0474    1.75      1.45      3         5         3.37      3.37      1.2       1.2       2         0         1         14        2         3         10        0         0.284734  0.398544  0         
TmSb      1.25      2.05      69        51        6.18431   8.60839   1.02922   1.0474    1.75      1.45      3         5         3.60      3.60      1.2       1.2       2         0         0         13        2         3         10        0         0.82412   0.374025  0         
YN        1.22      3.04      39        7         6.21726   14.53413  0.30712   -0.07     1.8       0.65      3         5         2.94      2.94      1.41      1.41      2         0         1         0         2         3         0         0         0.948043  0.429728  1         
KBr       0.82      2.96      19        35        4.34066   11.81381  0.50146   3.36359   2.2       1.15      1         7         3.69      3.69      0.80      0.80      1         0         0         0         2         5         10        0         0.568763  0.199768  0         
MnAu      1.55      2.54      25        79        7.43404   9.22555   -0.52     2.30861   1.4       1.35      7         11        2.22      2.22      2.04      2.04      2         0         5         0         1         0         10        14        0.770747  0.370402  0         
GaIr      1.81      2.2       31        77        5.9993    8.96702   0.3012    1.56436   1.3       1.35      3         9         1.695     1.695     1.70      1.70      2         1         10        0         2         0         7         14        0.090364  0.148732  0         
DyAl      1.22      1.61      66        13        5.93905   5.98577   0.352     0.43284   1.75      1.25      3         3         3.67      3.67      1.15      1.15      2         0         0         10        2         1         0         0         0.106151  0.117259  1         
NdAu      1.14      2.54      60        79        5.525     9.22555   0.09749   2.30861   1.85      1.35      3         11        3.99      3.99      1.2       1.2       2         0         0         4         1         0         10        14        0.45098   0.398631  0         
ThSe      1.3       2.55      90        34        6.3067    9.75239   1.17      2.0206    1.8       1.15      3         6         4.98      4.98      1.3       1.3       2         0         2         0         2         4         10        0         0.616931  0.889034  0         
CeMg      1.12      1.31      58        12        5.5386    7.64624   0.572     -0.42     1.85      1.5       3         2         4.50      4.50      1.1       1.1       2         0         1         1         2         0         0         0         0.227936  0.523411  0         
RbF       0.82      3.98      37        9         4.17713   17.42282  0.48592   3.40119   2.35      0.5       1         7         4.10      4.10      0.80      0.80      1         0         0         0         2         5         0         0         0.756369  0.828024  0         
HfRu      1.3       2.2       72        44        6.82507   7.3605    0.17807   1.04638   1.55      1.3       4         8         2.91      2.91      1.73      1.73      2         0         2         14        1         0         7         0         0.302386  0.009617  1         
ScAg      1.36      1.93      21        47        6.56149   7.57623   0.1882    1.30447   1.6       1.6       3         11        2.75      2.75      1.50      1.50      2         0         1         0         1         0         10        0         0.295459  0.588278  0         
CsAu      0.79      2.54      55        79        3.89391   9.22555   0.47163   2.30861   2.6       1.35      1         11        4.31      4.31      0.77      0.77      1         0         0         0         1         0         10        14        0.595671  0.141567  0         
YAl       1.22      1.61      39        13        6.21726   5.98577   0.30712   0.43284   1.8       1.25      3         3         2.94      2.94      1.41      1.41      2         0         1         0         2         1         0         0         0.423413  0.524912  1         
LuAu      1.27      2.54      71        79        5.42587   9.22555   0.23887   2.30861   1.75      1.35      3         11        3.37      3.37      1.2       1.2       2         0         1         14        1         0         10        14        0.108822  0.371448  0         
HfPt      1.3       2.28      72        78        6.82507   8.95883   0.17807   2.12511   1.55      1.35      4         10        2.91      2.91      1.73      1.73      2         0         2         14        1         0         9         14        0.06946   0.960465  0         
LaTl      1.1       1.62      57        81        5.5769    6.10829   0.55755   0.32005   1.95      1.9       3         3         3.08      3.08      1.35      1.35      2         0         1         0         2         1         10        14        0.180017  0.611626  0         
ErAu      1.24      2.54      68        79        6.1077    9.22555   0.312     2.30861   1.75      1.35      3         11        3.63      3.63      1.2       1.2       2         0         0         12        1         0         10        14        0.311135  0.742495  0         
PbSe      2.33      2.55      82        34        7.41668   9.75239   0.35672   2.0206    1.8       1.15      4         6         2.09      2.09      1.92      1.92      2         2         10        14        2         4         10        0         0.912061  0.077724  1         
KI        0.82      2.66      19        53        4.34066   10.45126  0.50146   3.05905   2.2       1.4       1         7         3.69      3.69      0.80      0.80      1         0         0         0         2         5         10        0         0.600288  0.656284  0         
TbTl      1.1       1.62      65        81        5.8638    6.10829   0.13132   0.32005   1.75      1.9       3         3         3.89      3.89      1.2       1.2       2         0         0         9         2         1         10        14        0.660544  0.955381  0         
LiF       0.98      3.98      3         9         5.39171   17.42282  0.61805   3.40119   1.45      0.5       1         7         1.61      1.61      0.90      0.90      1         0         0         0         2         5         0         0         0.671452  0.736102  0         
PrN       1.13      3.04      59        7         5.4702    14.53413  0.10923   -0.07     1.85      0.65      3         5         4.48      4.48      1.1       1.1       2         0         0         3         2         3         0         0         0.297075  0.121614  0         
