formula   X_a0      X_b1      Z_a2      Z_b3      IE_a4     IE_b5     EA_a6     EA_b7     r_A8      r_B9      vale_A10  vale_B11  cr.r_A12  cr.r_B13  mb.x_A14  mb.x_B15  s_A16     p_A17     d_A18     f_A19     s_B20     p_B21     d_B22     f_B23     topoY     
CdO       1.69      3.44      48        8         8.99382   13.61806  -0.72     1.46111   1.55      0.6       12        6         2.215     2.215     1.40      1.40      2         0         10        0         2         4         0         0         0         
BeSe      1.57      2.55      4         34        9.3227    9.75239   -0.52     2.0206    1.05      1.15      2         6         1.08      1.08      1.45      1.45      2         0         0         0         2         4         10        0         0         
SrTe      0.95      2.1       38        52        5.69487   9.00981   0.05207   1.97088   2.0       1.4       2         6         3.21      3.21      1.13      1.13      2         0         0         0         2         4         10        0         0         
ErP       1.24      2.19      68        15        6.1077    10.48669  0.312     0.74661   1.75      1.0       3         5         3.63      3.63      1.2       1.2       2         0         0         12        2         3         0         0         0         
TmN       1.25      3.04      69        7         6.18431   14.53413  1.02922   -0.07     1.75      0.65      3         5         3.60      3.60      1.2       1.2       2         0         0         13        2         3         0         0         0         
YbTe      1.1       2.1       70        52        6.25416   9.00981   -0.02     1.97088   1.75      1.4       3         6         3.59      3.59      1.1       1.1       2         0         0         14        2         4         10        0         0         
SmSb      1.17      2.05      62        51        5.64371   8.60839   0.162     1.0474    1.85      1.45      3         5         4.14      4.14      1.2       1.2       2         0         0         6         2         3         10        0         1         
SrSe      0.95      2.55      38        34        5.69487   9.75239   0.05207   2.0206    2.0       1.15      2         6         3.21      3.21      1.13      1.13      2         0         0         0         2         4         10        0         0         
HgTe      2.0       2.1       80        52        10.4375   9.00981   -0.52     1.97088   1.5       1.4       12        6         2.41      2.41      1.49      1.49      2         0         10        14        2         4         10        0         0         
GaN       1.81      3.04      31        7         5.9993    14.53413  0.3012    -0.07     1.3       0.65      3         5         1.695     1.695     1.70      1.70      2         1         10        0         2         3         0         0         0         
CeC       1.12      2.55      58        6         5.5386    11.26029  0.572     1.26211   1.85      0.7       3         4         4.50      4.50      1.1       1.1       2         0         1         1         2         2         0         0         0         
RuC       2.2       2.55      44        6         7.3605    11.26029  1.04638   1.26211   1.3       0.7       8         4         2.605     2.605     1.97      1.97      1         0         7         0         2         2         0         0         1         
LiI       0.98      2.66      3         53        5.39171   10.45126  0.61805   3.05905   1.45      1.4       1         7         1.61      1.61      0.90      0.90      1         0         0         0         2         5         10        0         0         
LiCl      0.98      3.16      3         17        5.39171   12.96763  0.61805   3.61273   1.45      1.0       1         7         1.61      1.61      0.90      0.90      1         0         0         0         2         5         0         0         0         
AgI       1.93      2.66      47        53        7.57623   10.45126  1.30447   3.05905   1.6       1.4       11        7         2.375     2.375     1.07      1.07      1         0         10        0         2         5         10        0         0         
AgCl      1.93      3.16      47        17        7.57623   12.96763  1.30447   3.61273   1.6       1.0       11        7         2.375     2.375     1.07      1.07      1         0         10        0         2         5         0         0         0         
CeS       1.12      2.58      58        16        5.5386    10.36001  0.572     2.0771    1.85      1.0       3         6         4.50      4.50      1.1       1.1       2         0         1         1         2         4         0         0         1         
LaN       1.1       3.04      57        7         5.5769    14.53413  0.55755   -0.07     1.95      0.65      3         5         3.08      3.08      1.35      1.35      2         0         1         0         2         3         0         0         0         
GeC       2.01      2.55      32        6         7.89944   11.26029  1.23268   1.26211   1.25      0.7       4         4         1.56      1.56      1.99      1.99      2         2         10        0         2         2         0         0         0         
PaAs      1.5       2.18      91        33        5.89      9.78855   0.55      0.80482   1.8       1.15      3         5         4.96      4.96      1.5       1.5       2         0         1         2         2         3         10        0         0         
US        1.38      2.58      92        16        6.19405   10.36001  0.53      2.0771    1.75      1.0       3         6         4.72      4.72      1.7       1.7       2         0         1         3         2         4         0         0         0         
CsF       0.79      3.98      55        9         3.89391   17.42282  0.47163   3.40119   2.6       0.5       1         7         4.31      4.31      0.77      0.77      1         0         0         0         2         5         0         0         0         
RbBr      0.82      2.96      37        35        4.17713   11.81381  0.48592   3.36359   2.35      1.15      1         7         4.10      4.10      0.80      0.80      1         0         0         0         2         5         10        0         0         
RbI       0.82      2.66      37        53        4.17713   10.45126  0.48592   3.05905   2.35      1.4       1         7         4.10      4.10      0.80      0.80      1         0         0         0         2         5         10        0         0         
NaBr      0.93      2.96      11        35        5.13908   11.81381  0.54793   3.36359   1.8       1.15      1         7         2.65      2.65      0.89      0.89      1         0         0         0         2         5         10        0         0         
LaBi      1.1       2.02      57        83        5.5769    7.28552   0.55755   0.94236   1.95      1.6       3         5         3.08      3.08      1.35      1.35      2         0         1         0         2         3         10        14        1         
InAs      1.78      2.18      49        33        5.78636   9.78855   0.38393   0.80482   1.55      1.15      3         5         2.05      2.05      1.63      1.63      2         1         10        0         2         3         10        0         0         
SiC       1.9       2.55      14        6         8.15168   11.26029  1.38952   1.26211   1.1       0.7       4         4         1.42      1.42      1.98      1.98      2         2         0         0         2         2         0         0         0         
