formula   X_a0      X_b1      X_c2      Z_a3      Z_b4      Z_c5      IE_a6     IE_b7     IE_c8     EA_a9     EA_b10    EA_c11    r_A12     r_B13     r_C14     vale_A15  vale_B16  vale_C17  cr.r_A18  cr.r_B19  cr.r_C20  mb.x_A21  mb.x_B22  mb.x_C23  s_A24     p_A25     d_A26     f_A27     s_B28     p_B29     d_B30     f_B31     s_C32     p_C33     d_C34     f_C35     topoY     
YMgTl     1.62      1.22      1.31      81        39        12        6.10829   6.21726   7.64624   0.32005   0.30712   -0.42     1.9       1.8       1.5       3         3         2         2.235     2.235     2.235     1.69      1.69      1.69      2         1         10        14        2         0         1         0         2         0         0         0         1         
SmMgTl    1.62      1.17      1.31      81        62        12        6.10829   5.64371   7.64624   0.32005   0.162     -0.42     1.9       1.85      1.5       3         3         2         2.235     2.235     2.235     1.69      1.69      1.69      2         1         10        14        2         0         0         6         2         0         0         0         1         
TiGePd    2.01      1.54      2.2       32        22        46        7.89944   6.82812   8.33684   1.23268   0.07555   0.56214   1.25      1.4       1.4       4         4         10        1.56      1.56      1.56      1.99      1.99      1.99      2         2         10        0         2         0         2         0         0         0         10        0         1         
CaAgP     2.19      1.0       1.93      15        20        47        10.48669  6.11316   7.57623   0.74661   0.02455   1.30447   1.0       1.8       1.6       5         2         11        1.24      1.24      1.24      2.32      2.32      2.32      2         3         0         0         2         0         0         0         1         0         10        0         1         
LuAgPb    2.33      1.27      1.93      82        71        47        7.41668   5.42587   7.57623   0.35672   0.23887   1.30447   1.8       1.75      1.6       4         3         11        2.09      2.09      2.09      1.92      1.92      1.92      2         2         10        14        2         0         1         14        1         0         10        0         0         
LaSnRh    2.28      1.1       1.96      45        57        50        7.4589    5.5769    7.34392   1.14289   0.55755   1.11207   1.35      1.95      1.45      9         3         4         2.52      2.52      2.52      1.99      1.99      1.99      1         0         8         0         2         0         1         0         2         2         10        0         1         
YMgAl     1.61      1.22      1.31      13        39        12        5.98577   6.21726   7.64624   0.43284   0.30712   -0.42     1.25      1.8       1.5       3         3         2         1.675     1.675     1.675     1.64      1.64      1.64      2         1         0         0         2         0         1         0         2         0         0         0         1         
YMgCu     1.9       1.22      1.31      29        39        12        7.72638   6.21726   7.64624   1.23578   0.30712   -0.42     1.35      1.8       1.5       11        3         2         2.04      2.04      2.04      1.08      1.08      1.08      1         0         10        0         2         0         1         0         2         0         0         0         0         
DyTlPd    2.2       1.22      1.62      46        66        81        8.33684   5.93905   6.10829   0.56214   0.352     0.32005   1.4       1.75      1.9       10        3         3         2.45      2.45      2.45      2.08      2.08      2.08      0         0         10        0         2         0         0         10        2         1         10        14        0         
NaSrP     2.19      0.95      0.93      15        38        11        10.48669  5.69487   5.13908   0.74661   0.05207   0.54793   1.0       2.0       1.8       5         2         1         1.24      1.24      1.24      2.32      2.32      2.32      2         3         0         0         2         0         0         0         1         0         0         0         0         
LiHoGe    2.01      1.23      0.98      32        67        3         7.89944   6.0215    5.39171   1.23268   0.338     0.61805   1.25      1.75      1.45      4         3         1         1.56      1.56      1.56      1.99      1.99      1.99      2         2         10        0         2         0         0         11        1         0         0         0         1         
LiNdGe    2.01      1.14      0.98      32        60        3         7.89944   5.525     5.39171   1.23268   0.09749   0.61805   1.25      1.85      1.45      4         3         1         1.56      1.56      1.56      1.99      1.99      1.99      2         2         10        0         2         0         0         4         1         0         0         0         1         
LiSmGe    2.01      1.17      0.98      32        62        3         7.89944   5.64371   5.39171   1.23268   0.162     0.61805   1.25      1.85      1.45      4         3         1         1.56      1.56      1.56      1.99      1.99      1.99      2         2         10        0         2         0         0         6         1         0         0         0         1         
GePd2     2.01      2.2       2.2       32        46        46        7.89944   8.33684   8.33684   1.23268   0.56214   0.56214   1.25      1.4       1.4       4         10        10        1.56      1.56      1.56      1.99      1.99      1.99      2         2         10        0         0         0         10        0         0         0         10        0         0         
NdTlPd    2.2       1.14      1.62      46        60        81        8.33684   5.525     6.10829   0.56214   0.09749   0.32005   1.4       1.85      1.9       10        3         3         2.45      2.45      2.45      2.08      2.08      2.08      0         0         10        0         2         0         0         4         2         1         10        14        0         
TmMgIn    1.78      1.25      1.31      49        69        12        5.78636   6.18431   7.64624   0.38393   1.02922   -0.42     1.55      1.75      1.5       3         3         2         2.05      2.05      2.05      1.63      1.63      1.63      2         1         10        0         2         0         0         13        2         0         0         0         1         
DyAgGe    1.93      1.22      2.01      47        66        32        7.57623   5.93905   7.89944   1.30447   0.352     1.23268   1.6       1.75      1.25      11        3         4         2.375     2.375     2.375     1.07      1.07      1.07      1         0         10        0         2         0         0         10        2         2         10        0         1         
TbTlPd    2.2       1.1       1.62      46        65        81        8.33684   5.8638    6.10829   0.56214   0.13132   0.32005   1.4       1.75      1.9       10        3         3         2.45      2.45      2.45      2.08      2.08      2.08      0         0         10        0         2         0         0         9         2         1         10        14        0         
YbSnPt    2.28      1.1       1.96      78        70        50        8.95883   6.25416   7.34392   2.12511   -0.02     1.11207   1.35      1.75      1.45      10        3         4         2.70      2.70      2.70      1.91      1.91      1.91      1         0         9         14        2         0         0         14        2         2         10        0         1         
HoInPt    2.28      1.23      1.78      78        67        49        8.95883   6.0215    5.78636   2.12511   0.338     0.38393   1.35      1.75      1.55      10        3         3         2.70      2.70      2.70      1.91      1.91      1.91      1         0         9         14        2         0         0         11        2         1         10        0         0         
YInPt     2.28      1.22      1.78      78        39        49        8.95883   6.21726   5.78636   2.12511   0.30712   0.38393   1.35      1.8       1.55      10        3         3         2.70      2.70      2.70      1.91      1.91      1.91      1         0         9         14        2         0         1         0         2         1         10        0         0         
LiYSi     1.9       1.22      0.98      14        39        3         8.15168   6.21726   5.39171   1.38952   0.30712   0.61805   1.1       1.8       1.45      4         3         1         1.42      1.42      1.42      1.98      1.98      1.98      2         2         0         0         2         0         1         0         1         0         0         0         1         
ErAlPd    2.2       1.24      1.61      46        68        13        8.33684   6.1077    5.98577   0.56214   0.312     0.43284   1.4       1.75      1.25      10        3         3         2.45      2.45      2.45      2.08      2.08      2.08      0         0         10        0         2         0         0         12        2         1         0         0         0         
NdInNi    1.91      1.14      1.78      28        60        49        7.63988   5.525     5.78636   1.15716   0.09749   0.38393   1.35      1.85      1.55      10        3         3         2.18      2.18      2.18      1.76      1.76      1.76      2         0         8         0         2         0         0         4         2         1         10        0         0         
ErCdGa    1.81      1.24      1.69      31        68        48        5.9993    6.1077    8.99382   0.3012    0.312     -0.72     1.3       1.75      1.55      3         3         12        1.695     1.695     1.695     1.70      1.70      1.70      2         1         10        0         2         0         0         12        2         0         10        0         1         
YbCdGe    2.01      1.1       1.69      32        70        48        7.89944   6.25416   8.99382   1.23268   -0.02     -0.72     1.25      1.75      1.55      4         3         12        1.56      1.56      1.56      1.99      1.99      1.99      2         2         10        0         2         0         0         14        2         0         10        0         1         
ZrGaRh    2.28      1.33      1.81      45        40        31        7.4589    6.63413   5.9993    1.14289   0.43329   0.3012    1.35      1.55      1.3       9         4         3         2.52      2.52      2.52      1.99      1.99      1.99      1         0         8         0         2         0         2         0         2         1         10        0         0         
TmAgGe    2.01      1.25      1.93      32        69        47        7.89944   6.18431   7.57623   1.23268   1.02922   1.30447   1.25      1.75      1.6       4         3         11        1.56      1.56      1.56      1.99      1.99      1.99      2         2         10        0         2         0         0         13        1         0         10        0         1         
ErAlNi    1.91      1.24      1.61      28        68        13        7.63988   6.1077    5.98577   1.15716   0.312     0.43284   1.35      1.75      1.25      10        3         3         2.18      2.18      2.18      1.76      1.76      1.76      2         0         8         0         2         0         0         12        2         1         0         0         1         
ErSnIr    2.2       1.24      1.96      77        68        50        8.96702   6.1077    7.34392   1.56436   0.312     1.11207   1.35      1.75      1.45      9         3         4         2.628     2.628     2.628     1.87      1.87      1.87      2         0         7         14        2         0         0         12        2         2         10        0         0         
HfSiRu    1.9       1.3       2.2       14        72        44        8.15168   6.82507   7.3605    1.38952   0.17807   1.04638   1.1       1.55      1.3       4         4         8         1.42      1.42      1.42      1.98      1.98      1.98      2         2         0         0         2         0         2         14        1         0         7         0         0         
TbAlNi    1.91      1.1       1.61      28        65        13        7.63988   5.8638    5.98577   1.15716   0.13132   0.43284   1.35      1.75      1.25      10        3         3         2.18      2.18      2.18      1.76      1.76      1.76      2         0         8         0         2         0         0         9         2         1         0         0         0         
LiTbGe    2.01      1.1       0.98      32        65        3         7.89944   5.8638    5.39171   1.23268   0.13132   0.61805   1.25      1.75      1.45      4         3         1         1.56      1.56      1.56      1.99      1.99      1.99      2         2         10        0         2         0         0         9         1         0         0         0         1         
LuInPd    2.2       1.27      1.78      46        71        49        8.33684   5.42587   5.78636   0.56214   0.23887   0.38393   1.4       1.75      1.55      10        3         3         2.45      2.45      2.45      2.08      2.08      2.08      0         0         10        0         2         0         1         14        2         1         10        0         0         
ErMgAg    1.93      1.24      1.31      47        68        12        7.57623   6.1077    7.64624   1.30447   0.312     -0.42     1.6       1.75      1.5       11        3         2         2.375     2.375     2.375     1.07      1.07      1.07      1         0         10        0         2         0         0         12        2         0         0         0         0         
TaReSi    1.9       1.5       1.9       14        73        75        8.15168   7.54957   7.83352   1.38952   0.32312   0.0604    1.1       1.45      1.35      4         5         7         1.42      1.42      1.42      1.98      1.98      1.98      2         2         0         0         2         0         3         14        2         0         5         14        0         
YbAlCu    1.9       1.1       1.61      29        70        13        7.72638   6.25416   5.98577   1.23578   -0.02     0.43284   1.35      1.75      1.25      11        3         3         2.04      2.04      2.04      1.08      1.08      1.08      1         0         10        0         2         0         0         14        2         1         0         0         1         
ZrGaCo    1.88      1.33      1.81      27        40        31        7.88101   6.63413   5.9993    0.66226   0.43329   0.3012    1.35      1.55      1.3       9         4         3         2.02      2.02      2.02      1.72      1.72      1.72      2         0         7         0         2         0         2         0         2         1         10        0         0         
PrMgAg    1.93      1.13      1.31      47        59        12        7.57623   5.4702    7.64624   1.30447   0.10923   -0.42     1.6       1.85      1.5       11        3         2         2.375     2.375     2.375     1.07      1.07      1.07      1         0         10        0         2         0         0         3         2         0         0         0         1         
SmCdCu    1.9       1.17      1.69      29        62        48        7.72638   5.64371   8.99382   1.23578   0.162     -0.72     1.35      1.85      1.55      11        3         12        2.04      2.04      2.04      1.08      1.08      1.08      1         0         10        0         2         0         0         6         2         0         10        0         0         
LaMgAg    1.93      1.1       1.31      47        57        12        7.57623   5.5769    7.64624   1.30447   0.55755   -0.42     1.6       1.95      1.5       11        3         2         2.375     2.375     2.375     1.07      1.07      1.07      1         0         10        0         2         0         1         0         2         0         0         0         1         
DySnRh    2.28      1.22      1.96      45        66        50        7.4589    5.93905   7.34392   1.14289   0.352     1.11207   1.35      1.75      1.45      9         3         4         2.52      2.52      2.52      1.99      1.99      1.99      1         0         8         0         2         0         0         10        2         2         10        0         0         
NdAlNi    1.91      1.14      1.61      28        60        13        7.63988   5.525     5.98577   1.15716   0.09749   0.43284   1.35      1.85      1.25      10        3         3         2.18      2.18      2.18      1.76      1.76      1.76      2         0         8         0         2         0         0         4         2         1         0         0         0         
LuAlNi    1.91      1.27      1.61      28        71        13        7.63988   5.42587   5.98577   1.15716   0.23887   0.43284   1.35      1.75      1.25      10        3         3         2.18      2.18      2.18      1.76      1.76      1.76      2         0         8         0         2         0         1         14        2         1         0         0         0         
SmSnRh    2.28      1.17      1.96      45        62        50        7.4589    5.64371   7.34392   1.14289   0.162     1.11207   1.35      1.85      1.45      9         3         4         2.52      2.52      2.52      1.99      1.99      1.99      1         0         8         0         2         0         0         6         2         2         10        0         0         
TmSnIr    2.2       1.25      1.96      77        69        50        8.96702   6.18431   7.34392   1.56436   1.02922   1.11207   1.35      1.75      1.45      9         3         4         2.628     2.628     2.628     1.87      1.87      1.87      2         0         7         14        2         0         0         13        2         2         10        0         0         
MgGaAu    2.54      1.31      1.81      79        12        31        9.22555   7.64624   5.9993    2.30861   -0.42     0.3012    1.35      1.5       1.3       11        2         3         2.66      2.66      2.66      1.19      1.19      1.19      1         0         10        14        2         0         0         0         2         1         10        0         0         
PrAlPd    2.2       1.13      1.61      46        59        13        8.33684   5.4702    5.98577   0.56214   0.10923   0.43284   1.4       1.85      1.25      10        3         3         2.45      2.45      2.45      2.08      2.08      2.08      0         0         10        0         2         0         0         3         2         1         0         0         0         
TbSnRh    2.28      1.1       1.96      45        65        50        7.4589    5.8638    7.34392   1.14289   0.13132   1.11207   1.35      1.75      1.45      9         3         4         2.52      2.52      2.52      1.99      1.99      1.99      1         0         8         0         2         0         0         9         2         2         10        0         0         
PrCdCu    1.9       1.13      1.69      29        59        48        7.72638   5.4702    8.99382   1.23578   0.10923   -0.72     1.35      1.85      1.55      11        3         12        2.04      2.04      2.04      1.08      1.08      1.08      1         0         10        0         2         0         0         3         2         0         10        0         1         
PrInPd    2.2       1.13      1.78      46        59        49        8.33684   5.4702    5.78636   0.56214   0.10923   0.38393   1.4       1.85      1.55      10        3         3         2.45      2.45      2.45      2.08      2.08      2.08      0         0         10        0         2         0         0         3         2         1         10        0         0         
YbPdPb    2.2       1.1       2.33      46        70        82        8.33684   6.25416   7.41668   0.56214   -0.02     0.35672   1.4       1.75      1.8       10        3         4         2.45      2.45      2.45      2.08      2.08      2.08      0         0         10        0         2         0         0         14        2         2         10        14        0         
TmAlNi    1.91      1.25      1.61      28        69        13        7.63988   6.18431   5.98577   1.15716   1.02922   0.43284   1.35      1.75      1.25      10        3         3         2.18      2.18      2.18      1.76      1.76      1.76      2         0         8         0         2         0         0         13        2         1         0         0         0         
PrAlNi    1.91      1.13      1.61      28        59        13        7.63988   5.4702    5.98577   1.15716   0.10923   0.43284   1.35      1.85      1.25      10        3         3         2.18      2.18      2.18      1.76      1.76      1.76      2         0         8         0         2         0         0         3         2         1         0         0         0         
NbReSi    1.9       1.6       1.9       14        41        75        8.15168   6.75885   7.83352   1.38952   0.91741   0.0604    1.1       1.45      1.35      4         5         7         1.42      1.42      1.42      1.98      1.98      1.98      2         2         0         0         1         0         4         0         2         0         5         14        0         
SmMgAg    1.93      1.17      1.31      47        62        12        7.57623   5.64371   7.64624   1.30447   0.162     -0.42     1.6       1.85      1.5       11        3         2         2.375     2.375     2.375     1.07      1.07      1.07      1         0         10        0         2         0         0         6         2         0         0         0         1         
HfGaCo    1.88      1.3       1.81      27        72        31        7.88101   6.82507   5.9993    0.66226   0.17807   0.3012    1.35      1.55      1.3       9         4         3         2.02      2.02      2.02      1.72      1.72      1.72      2         0         7         0         2         0         2         14        2         1         10        0         0         
HfSiOs    1.9       1.3       2.2       14        72        76        8.15168   6.82507   8.43823   1.38952   0.17807   1.0778    1.1       1.55      1.3       4         4         8         1.42      1.42      1.42      1.98      1.98      1.98      2         2         0         0         2         0         2         14        2         0         6         14        0         
PrInNi    1.91      1.13      1.78      28        59        49        7.63988   5.4702    5.78636   1.15716   0.10923   0.38393   1.35      1.85      1.55      10        3         3         2.18      2.18      2.18      1.76      1.76      1.76      2         0         8         0         2         0         0         3         2         1         10        0         0         
HoSnIr    2.2       1.23      1.96      77        67        50        8.96702   6.0215    7.34392   1.56436   0.338     1.11207   1.35      1.75      1.45      9         3         4         2.628     2.628     2.628     1.87      1.87      1.87      2         0         7         14        2         0         0         11        2         2         10        0         0         
PrCdGa    1.81      1.13      1.69      31        59        48        5.9993    5.4702    8.99382   0.3012    0.10923   -0.72     1.3       1.85      1.55      3         3         12        1.695     1.695     1.695     1.70      1.70      1.70      2         1         10        0         2         0         0         3         2         0         10        0         1         
ScGeRh    2.01      1.36      2.28      32        21        45        7.89944   6.56149   7.4589    1.23268   0.1882    1.14289   1.25      1.6       1.35      4         3         9         1.56      1.56      1.56      1.99      1.99      1.99      2         2         10        0         2         0         1         0         1         0         8         0         0         
LuSiAg    1.9       1.27      1.93      14        71        47        8.15168   5.42587   7.57623   1.38952   0.23887   1.30447   1.1       1.75      1.6       4         3         11        1.42      1.42      1.42      1.98      1.98      1.98      2         2         0         0         2         0         1         14        1         0         10        0         1         
HfGaRh    2.28      1.3       1.81      45        72        31        7.4589    6.82507   5.9993    1.14289   0.17807   0.3012    1.35      1.55      1.3       9         4         3         2.52      2.52      2.52      1.99      1.99      1.99      1         0         8         0         2         0         2         14        2         1         10        0         0         
ThGaIr    2.2       1.3       1.81      77        90        31        8.96702   6.3067    5.9993    1.56436   1.17      0.3012    1.35      1.8       1.3       9         3         3         2.628     2.628     2.628     1.87      1.87      1.87      2         0         7         14        2         0         2         0         2         1         10        0         1         
YbCdPb    2.33      1.1       1.69      82        70        48        7.41668   6.25416   8.99382   0.35672   -0.02     -0.72     1.8       1.75      1.55      4         3         12        2.09      2.09      2.09      1.92      1.92      1.92      2         2         10        14        2         0         0         14        2         0         10        0         0         
TbInPd    2.2       1.1       1.78      46        65        49        8.33684   5.8638    5.78636   0.56214   0.13132   0.38393   1.4       1.75      1.55      10        3         3         2.45      2.45      2.45      2.08      2.08      2.08      0         0         10        0         2         0         0         9         2         1         10        0         0         
HfGeRu    2.01      1.3       2.2       32        72        44        7.89944   6.82507   7.3605    1.23268   0.17807   1.04638   1.25      1.55      1.3       4         4         8         1.56      1.56      1.56      1.99      1.99      1.99      2         2         10        0         2         0         2         14        1         0         7         0         0         
TmSiAg    1.9       1.25      1.93      14        69        47        8.15168   6.18431   7.57623   1.38952   1.02922   1.30447   1.1       1.75      1.6       4         3         11        1.42      1.42      1.42      1.98      1.98      1.98      2         2         0         0         2         0         0         13        1         0         10        0         1         
ErSiAg    1.9       1.24      1.93      14        68        47        8.15168   6.1077    7.57623   1.38952   0.312     1.30447   1.1       1.75      1.6       4         3         11        1.42      1.42      1.42      1.98      1.98      1.98      2         2         0         0         2         0         0         12        1         0         10        0         1         
YInPd     2.2       1.22      1.78      46        39        49        8.33684   6.21726   5.78636   0.56214   0.30712   0.38393   1.4       1.8       1.55      10        3         3         2.45      2.45      2.45      2.08      2.08      2.08      0         0         10        0         2         0         1         0         2         1         10        0         0         
YSiAg     1.9       1.22      1.93      14        39        47        8.15168   6.21726   7.57623   1.38952   0.30712   1.30447   1.1       1.8       1.6       4         3         11        1.42      1.42      1.42      1.98      1.98      1.98      2         2         0         0         2         0         1         0         1         0         10        0         1         
SmInNi    1.91      1.17      1.78      28        62        49        7.63988   5.64371   5.78636   1.15716   0.162     0.38393   1.35      1.85      1.55      10        3         3         2.18      2.18      2.18      1.76      1.76      1.76      2         0         8         0         2         0         0         6         2         1         10        0         0         
ScCuGe    2.01      1.36      1.9       32        21        29        7.89944   6.56149   7.72638   1.23268   0.1882    1.23578   1.25      1.6       1.35      4         3         11        1.56      1.56      1.56      1.99      1.99      1.99      2         2         10        0         2         0         1         0         1         0         10        0         1         
DySiAg    1.9       1.22      1.93      14        66        47        8.15168   5.93905   7.57623   1.38952   0.352     1.30447   1.1       1.75      1.6       4         3         11        1.42      1.42      1.42      1.98      1.98      1.98      2         2         0         0         2         0         0         10        1         0         10        0         1         
HfGeOs    2.01      1.3       2.2       32        72        76        7.89944   6.82507   8.43823   1.23268   0.17807   1.0778    1.25      1.55      1.3       4         4         8         1.56      1.56      1.56      1.99      1.99      1.99      2         2         10        0         2         0         2         14        2         0         6         14        0         
LaInPd    2.2       1.78      1.1       46        49        57        8.33684   5.78636   5.5769    0.56214   0.38393   0.55755   1.4       1.55      1.95      10        3         3         2.45      2.45      2.45      2.08      2.08      2.08      0         0         10        0         2         1         10        0         2         0         1         0         0         
LiYGe     2.01      1.22      0.98      32        39        3         7.89944   6.21726   5.39171   1.23268   0.30712   0.61805   1.25      1.8       1.45      4         3         1         1.56      1.56      1.56      1.99      1.99      1.99      2         2         10        0         2         0         1         0         1         0         0         0         1         
